sample_id	source_repo	source_accession	organism	tissue	organ	ecotype	developmental_stage	spaceflight_condition	gravity	light_regime	tropism_type	hardware	mission	growth_temperature	genotype	assay_type	raw_file	processed_file
Atha_WT-Col-0_sl_LN2_Rep1_n2-1_membrane	OSDR	OSD-38	Arabidopsis thaliana		seedling		76 {hour}	Ground Control			gravitropism	BRIC-PDFU		22 {degree Celsius}		RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-38_unnormalized_counts.csv
Atha_WT-Col-0_sl_LN2_Rep1_n2-1_soluble	OSDR	OSD-38	Arabidopsis thaliana		seedling		76 {hour}	Ground Control			gravitropism	BRIC-PDFU		22 {degree Celsius}		RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-38_unnormalized_counts.csv
Atha_WT-Col-0_sl_LN2_Rep2_n2-2_membrane	OSDR	OSD-38	Arabidopsis thaliana		seedling		76 {hour}	Ground Control			gravitropism	BRIC-PDFU		22 {degree Celsius}		RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-38_unnormalized_counts.csv
Atha_WT-Col-0_sl_LN2_Rep2_n2-2_soluble	OSDR	OSD-38	Arabidopsis thaliana		seedling		76 {hour}	Ground Control			gravitropism	BRIC-PDFU		22 {degree Celsius}		RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-38_unnormalized_counts.csv
Atha_WT-Col-0_sl_LN2_Rep3_n2-3_membrane	OSDR	OSD-38	Arabidopsis thaliana		seedling		76 {hour}	Ground Control			gravitropism	BRIC-PDFU		22 {degree Celsius}		RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-38_unnormalized_counts.csv
Atha_WT-Col-0_sl_LN2_Rep3_n2-3_soluble	OSDR	OSD-38	Arabidopsis thaliana		seedling		76 {hour}	Ground Control			gravitropism	BRIC-PDFU		22 {degree Celsius}		RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-38_unnormalized_counts.csv
Atha_WT-Col-0_sl_RNAlat_Rep1_rl1_membrane	OSDR	OSD-38	Arabidopsis thaliana		seedling		76 {hour}	Ground Control			gravitropism	BRIC-PDFU		22 {degree Celsius}		RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-38_unnormalized_counts.csv
Atha_WT-Col-0_sl_RNAlat_Rep1_rl1_soluble	OSDR	OSD-38	Arabidopsis thaliana		seedling		76 {hour}	Ground Control			gravitropism	BRIC-PDFU		22 {degree Celsius}		RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-38_unnormalized_counts.csv
Atha_WT-Col-0_sl_RNAlat_Rep2_rl2_membrane	OSDR	OSD-38	Arabidopsis thaliana		seedling		76 {hour}	Ground Control			gravitropism	BRIC-PDFU		22 {degree Celsius}		RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-38_unnormalized_counts.csv
Atha_WT-Col-0_sl_RNAlat_Rep2_rl2_soluble	OSDR	OSD-38	Arabidopsis thaliana		seedling		76 {hour}	Ground Control			gravitropism	BRIC-PDFU		22 {degree Celsius}		RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-38_unnormalized_counts.csv
Atha_WT-Col-0_sl_RNAlat_Rep3_rl3_membrane	OSDR	OSD-38	Arabidopsis thaliana		seedling		76 {hour}	Ground Control			gravitropism	BRIC-PDFU		22 {degree Celsius}		RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-38_unnormalized_counts.csv
Atha_WT-Col-0_sl_RNAlat_Rep3_rl3_soluble	OSDR	OSD-38	Arabidopsis thaliana		seedling		76 {hour}	Ground Control			gravitropism	BRIC-PDFU		22 {degree Celsius}		RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-38_unnormalized_counts.csv
Atha_WT-Col-0_sl_FLT_Rep1_G1S1	OSDR	OSD-38	Arabidopsis thaliana		seedling		76 {hour}	Space Flight			gravitropism	BRIC-PDFU		22 {degree Celsius}		RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-38_unnormalized_counts.csv
Atha_WT-Col-0_sl_FLT_Rep2_G1S2	OSDR	OSD-38	Arabidopsis thaliana		seedling		76 {hour}	Space Flight			gravitropism	BRIC-PDFU		22 {degree Celsius}		RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-38_unnormalized_counts.csv
Atha_WT-Col-0_sl_FLT_Rep3_G1S3	OSDR	OSD-38	Arabidopsis thaliana		seedling		76 {hour}	Space Flight			gravitropism	BRIC-PDFU		22 {degree Celsius}		RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-38_unnormalized_counts.csv
Atha_WT-Col-0_sl_GC_Rep1_G2S1	OSDR	OSD-38	Arabidopsis thaliana		seedling		76 {hour}	Ground Control			gravitropism	BRIC-PDFU		22 {degree Celsius}		RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-38_unnormalized_counts.csv
Atha_WT-Col-0_sl_GC_Rep2_G2S2	OSDR	OSD-38	Arabidopsis thaliana		seedling		76 {hour}	Ground Control			gravitropism	BRIC-PDFU		22 {degree Celsius}		RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-38_unnormalized_counts.csv
Atha_WT-Col-0_sl_GC_Rep3_G2S3	OSDR	OSD-38	Arabidopsis thaliana		seedling		76 {hour}	Ground Control			gravitropism	BRIC-PDFU		22 {degree Celsius}		RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-38_unnormalized_counts.csv
Atha_WT-Col-0_sl_LN2_Rep1_n2-1	OSDR	OSD-38	Arabidopsis thaliana		seedling		76 {hour}	Ground Control			gravitropism	BRIC-PDFU		22 {degree Celsius}		RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-38_unnormalized_counts.csv
Atha_WT-Col-0_sl_LN2_Rep2_n2-2	OSDR	OSD-38	Arabidopsis thaliana		seedling		76 {hour}	Ground Control			gravitropism	BRIC-PDFU		22 {degree Celsius}		RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-38_unnormalized_counts.csv
Atha_WT-Col-0_sl_LN2_Rep3_n2-3	OSDR	OSD-38	Arabidopsis thaliana		seedling		76 {hour}	Ground Control			gravitropism	BRIC-PDFU		22 {degree Celsius}		RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-38_unnormalized_counts.csv
Atha_WT-Col-0_sl_RNAlat_Rep1_rl1	OSDR	OSD-38	Arabidopsis thaliana		seedling		76 {hour}	Ground Control			gravitropism	BRIC-PDFU		22 {degree Celsius}		RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-38_unnormalized_counts.csv
Atha_WT-Col-0_sl_RNAlat_Rep2_rl2	OSDR	OSD-38	Arabidopsis thaliana		seedling		76 {hour}	Ground Control			gravitropism	BRIC-PDFU		22 {degree Celsius}		RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-38_unnormalized_counts.csv
Atha_WT-Col-0_sl_RNAlat_Rep3_rl3	OSDR	OSD-38	Arabidopsis thaliana		seedling		76 {hour}	Ground Control			gravitropism	BRIC-PDFU		22 {degree Celsius}		RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-38_unnormalized_counts.csv
GSM3331071	OSDR	OSD-427	Arabidopsis thaliana		seedling			Space Flight			phototropism	Vegetable Production System (Veggie)			Wild Type	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-427_unnormalized_counts.csv
GSM3331072	OSDR	OSD-427	Arabidopsis thaliana		seedling			Space Flight			phototropism	Vegetable Production System (Veggie)			Wild Type	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-427_unnormalized_counts.csv
GSM3331073	OSDR	OSD-427	Arabidopsis thaliana		seedling			Space Flight			phototropism	Vegetable Production System (Veggie)			Wild Type	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-427_unnormalized_counts.csv
GSM3331074	OSDR	OSD-427	Arabidopsis thaliana		seedling			Space Flight			phototropism	Vegetable Production System (Veggie)			Wild Type	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-427_unnormalized_counts.csv
GSM3331075	OSDR	OSD-427	Arabidopsis thaliana		seedling			Space Flight			phototropism	Vegetable Production System (Veggie)			Wild Type	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-427_unnormalized_counts.csv
GSM3331076	OSDR	OSD-427	Arabidopsis thaliana		seedling			Space Flight			phototropism	Vegetable Production System (Veggie)			Wild Type	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-427_unnormalized_counts.csv
GSM3331077	OSDR	OSD-427	Arabidopsis thaliana		seedling			Space Flight			phototropism	Vegetable Production System (Veggie)			Wild Type	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-427_unnormalized_counts.csv
GSM3331078	OSDR	OSD-427	Arabidopsis thaliana		seedling			Space Flight			phototropism	Vegetable Production System (Veggie)			Wild Type	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-427_unnormalized_counts.csv
GSM3331079	OSDR	OSD-427	Arabidopsis thaliana		seedling			Ground Control			phototropism	Vegetable Production System (Veggie)			Wild Type	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-427_unnormalized_counts.csv
GSM3331080	OSDR	OSD-427	Arabidopsis thaliana		seedling			Ground Control			phototropism	Vegetable Production System (Veggie)			Wild Type	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-427_unnormalized_counts.csv
GSM3331081	OSDR	OSD-427	Arabidopsis thaliana		seedling			Ground Control			phototropism	Vegetable Production System (Veggie)			Wild Type	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-427_unnormalized_counts.csv
GSM3331082	OSDR	OSD-427	Arabidopsis thaliana		seedling			Ground Control			phototropism	Vegetable Production System (Veggie)			Wild Type	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-427_unnormalized_counts.csv
GSM3331083	OSDR	OSD-427	Arabidopsis thaliana		seedling			Ground Control			phototropism	Vegetable Production System (Veggie)			Wild Type	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-427_unnormalized_counts.csv
GSM3331084	OSDR	OSD-427	Arabidopsis thaliana		seedling			Ground Control			phototropism	Vegetable Production System (Veggie)			Wild Type	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-427_unnormalized_counts.csv
GSM3331085	OSDR	OSD-427	Arabidopsis thaliana		seedling			Ground Control			phototropism	Vegetable Production System (Veggie)			Wild Type	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-427_unnormalized_counts.csv
GSM3331086	OSDR	OSD-427	Arabidopsis thaliana		seedling			Ground Control			phototropism	Vegetable Production System (Veggie)			Wild Type	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-427_unnormalized_counts.csv
GSM3331087	OSDR	OSD-427	Arabidopsis thaliana		seedling			Space Flight			phototropism	Vegetable Production System (Veggie)			elp2-5	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-427_unnormalized_counts.csv
GSM3331088	OSDR	OSD-427	Arabidopsis thaliana		seedling			Space Flight			phototropism	Vegetable Production System (Veggie)			elp2-5	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-427_unnormalized_counts.csv
GSM3331089	OSDR	OSD-427	Arabidopsis thaliana		seedling			Space Flight			phototropism	Vegetable Production System (Veggie)			elp2-5	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-427_unnormalized_counts.csv
GSM3331090	OSDR	OSD-427	Arabidopsis thaliana		seedling			Space Flight			phototropism	Vegetable Production System (Veggie)			elp2-5	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-427_unnormalized_counts.csv
GSM3331091	OSDR	OSD-427	Arabidopsis thaliana		seedling			Space Flight			phototropism	Vegetable Production System (Veggie)			elp2-5	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-427_unnormalized_counts.csv
GSM3331092	OSDR	OSD-427	Arabidopsis thaliana		seedling			Space Flight			phototropism	Vegetable Production System (Veggie)			elp2-5	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-427_unnormalized_counts.csv
GSM3331093	OSDR	OSD-427	Arabidopsis thaliana		seedling			Space Flight			phototropism	Vegetable Production System (Veggie)			elp2-5	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-427_unnormalized_counts.csv
GSM3331094	OSDR	OSD-427	Arabidopsis thaliana		seedling			Space Flight			phototropism	Vegetable Production System (Veggie)			elp2-5	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-427_unnormalized_counts.csv
GSM3331095	OSDR	OSD-427	Arabidopsis thaliana		seedling			Ground Control			phototropism	Vegetable Production System (Veggie)			elp2-5	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-427_unnormalized_counts.csv
GSM3331096	OSDR	OSD-427	Arabidopsis thaliana		seedling			Ground Control			phototropism	Vegetable Production System (Veggie)			elp2-5	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-427_unnormalized_counts.csv
GSM3331097	OSDR	OSD-427	Arabidopsis thaliana		seedling			Ground Control			phototropism	Vegetable Production System (Veggie)			elp2-5	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-427_unnormalized_counts.csv
GSM3331098	OSDR	OSD-427	Arabidopsis thaliana		seedling			Ground Control			phototropism	Vegetable Production System (Veggie)			elp2-5	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-427_unnormalized_counts.csv
GSM3331099	OSDR	OSD-427	Arabidopsis thaliana		seedling			Ground Control			phototropism	Vegetable Production System (Veggie)			elp2-5	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-427_unnormalized_counts.csv
GSM3331100	OSDR	OSD-427	Arabidopsis thaliana		seedling			Ground Control			phototropism	Vegetable Production System (Veggie)			elp2-5	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-427_unnormalized_counts.csv
GSM3331101	OSDR	OSD-427	Arabidopsis thaliana		seedling			Ground Control			phototropism	Vegetable Production System (Veggie)			elp2-5	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-427_unnormalized_counts.csv
GSM3331102	OSDR	OSD-427	Arabidopsis thaliana		seedling			Ground Control			phototropism	Vegetable Production System (Veggie)			elp2-5	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-427_unnormalized_counts.csv
GSM3331103	OSDR	OSD-427	Arabidopsis thaliana		seedling			Space Flight			phototropism	Vegetable Production System (Veggie)			met1-7	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-427_unnormalized_counts.csv
GSM3331104	OSDR	OSD-427	Arabidopsis thaliana		seedling			Space Flight			phototropism	Vegetable Production System (Veggie)			met1-7	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-427_unnormalized_counts.csv
GSM3331105	OSDR	OSD-427	Arabidopsis thaliana		seedling			Space Flight			phototropism	Vegetable Production System (Veggie)			met1-7	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-427_unnormalized_counts.csv
GSM3331106	OSDR	OSD-427	Arabidopsis thaliana		seedling			Space Flight			phototropism	Vegetable Production System (Veggie)			met1-7	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-427_unnormalized_counts.csv
GSM3331107	OSDR	OSD-427	Arabidopsis thaliana		seedling			Space Flight			phototropism	Vegetable Production System (Veggie)			met1-7	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-427_unnormalized_counts.csv
GSM3331108	OSDR	OSD-427	Arabidopsis thaliana		seedling			Space Flight			phototropism	Vegetable Production System (Veggie)			met1-7	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-427_unnormalized_counts.csv
GSM3331109	OSDR	OSD-427	Arabidopsis thaliana		seedling			Space Flight			phototropism	Vegetable Production System (Veggie)			met1-7	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-427_unnormalized_counts.csv
GSM3331110	OSDR	OSD-427	Arabidopsis thaliana		seedling			Space Flight			phototropism	Vegetable Production System (Veggie)			met1-7	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-427_unnormalized_counts.csv
GSM3331111	OSDR	OSD-427	Arabidopsis thaliana		seedling			Ground Control			phototropism	Vegetable Production System (Veggie)			met1-7	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-427_unnormalized_counts.csv
GSM3331112	OSDR	OSD-427	Arabidopsis thaliana		seedling			Ground Control			phototropism	Vegetable Production System (Veggie)			met1-7	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-427_unnormalized_counts.csv
GSM3331113	OSDR	OSD-427	Arabidopsis thaliana		seedling			Ground Control			phototropism	Vegetable Production System (Veggie)			met1-7	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-427_unnormalized_counts.csv
GSM3331114	OSDR	OSD-427	Arabidopsis thaliana		seedling			Ground Control			phototropism	Vegetable Production System (Veggie)			met1-7	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-427_unnormalized_counts.csv
GSM3331115	OSDR	OSD-427	Arabidopsis thaliana		seedling			Ground Control			phototropism	Vegetable Production System (Veggie)			met1-7	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-427_unnormalized_counts.csv
GSM3331116	OSDR	OSD-427	Arabidopsis thaliana		seedling			Ground Control			phototropism	Vegetable Production System (Veggie)			met1-7	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-427_unnormalized_counts.csv
GSM3331117	OSDR	OSD-427	Arabidopsis thaliana		seedling			Ground Control			phototropism	Vegetable Production System (Veggie)			met1-7	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-427_unnormalized_counts.csv
GSM3331118	OSDR	OSD-427	Arabidopsis thaliana		seedling			Ground Control			phototropism	Vegetable Production System (Veggie)			met1-7	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-427_unnormalized_counts.csv
A4Ex_248	OSDR	OSD-437	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-437_unnormalized_counts.csv
A4_208	OSDR	OSD-437	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-437_unnormalized_counts.csv
A4_223	OSDR	OSD-437	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-437_unnormalized_counts.csv
A4_258	OSDR	OSD-437	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-437_unnormalized_counts.csv
A6Ex_243	OSDR	OSD-437	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-437_unnormalized_counts.csv
A6_203	OSDR	OSD-437	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-437_unnormalized_counts.csv
A6_213	OSDR	OSD-437	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-437_unnormalized_counts.csv
A6_253	OSDR	OSD-437	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-437_unnormalized_counts.csv
B4Ex_236	OSDR	OSD-437	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-437_unnormalized_counts.csv
B4_237	OSDR	OSD-437	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-437_unnormalized_counts.csv
B4_238	OSDR	OSD-437	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-437_unnormalized_counts.csv
B4_269	OSDR	OSD-437	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-437_unnormalized_counts.csv
B6Ex_220	OSDR	OSD-437	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-437_unnormalized_counts.csv
B6_219	OSDR	OSD-437	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-437_unnormalized_counts.csv
B6_232	OSDR	OSD-437	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-437_unnormalized_counts.csv
B6_233	OSDR	OSD-437	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-437_unnormalized_counts.csv
G6_283	OSDR	OSD-437	Arabidopsis thaliana		seedling			Ground Control			gravitropism	NASA Ames, Experimental Reference Module (ERM2)				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-437_unnormalized_counts.csv
G6_284	OSDR	OSD-437	Arabidopsis thaliana		seedling			Ground Control			gravitropism	NASA Ames, Experimental Reference Module (ERM2)				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-437_unnormalized_counts.csv
G6_286	OSDR	OSD-437	Arabidopsis thaliana		seedling			Ground Control			gravitropism	NASA Ames, Experimental Reference Module (ERM2)				RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-437_unnormalized_counts.csv
Atha_Col-0_wo_WT_FLT_Rep1	OSDR	OSD-44	Arabidopsis thaliana		seedling			Space Flight			gravitropism				Wild Type	microarray		
Atha_Col-0_wo_WT_FLT_Rep2	OSDR	OSD-44	Arabidopsis thaliana		seedling			Space Flight			gravitropism				Wild Type	microarray		
Atha_Col-0_wo_WT_FLT_Rep3	OSDR	OSD-44	Arabidopsis thaliana		seedling			Space Flight			gravitropism				Wild Type	microarray		
Atha_Col-0_wo_WT_GC_Rep1	OSDR	OSD-44	Arabidopsis thaliana		seedling			Ground Control			gravitropism				Wild Type	microarray		
Atha_Col-0_wo_WT_GC_Rep2	OSDR	OSD-44	Arabidopsis thaliana		seedling			Ground Control			gravitropism				Wild Type	microarray		
Atha_Col-0_wo_WT_GC_Rep3	OSDR	OSD-44	Arabidopsis thaliana		seedling			Ground Control			gravitropism				Wild Type	microarray		
Atha_Col-0_wo_act2-3_FLT_Rep1	OSDR	OSD-44	Arabidopsis thaliana		seedling			Space Flight			gravitropism				act2-3	microarray		
Atha_Col-0_wo_act2-3_FLT_Rep2	OSDR	OSD-44	Arabidopsis thaliana		seedling			Space Flight			gravitropism				act2-3	microarray		
Atha_Col-0_wo_act2-3_FLT_Rep3	OSDR	OSD-44	Arabidopsis thaliana		seedling			Space Flight			gravitropism				act2-3	microarray		
Atha_Col-0_wo_act2-3_GC_Rep1	OSDR	OSD-44	Arabidopsis thaliana		seedling			Ground Control			gravitropism				act2-3	microarray		
Atha_Col-0_wo_act2-3_GC_Rep2	OSDR	OSD-44	Arabidopsis thaliana		seedling			Ground Control			gravitropism				act2-3	microarray		
Atha_Col-0_wo_act2-3_GC_Rep3	OSDR	OSD-44	Arabidopsis thaliana		seedling			Ground Control			gravitropism				act2-3	microarray		
004cc1	OSDR	OSD-480	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)			Wild Type	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-480_unnormalized_counts.csv
004cc2	OSDR	OSD-480	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)			Wild Type	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-480_unnormalized_counts.csv
004cc3	OSDR	OSD-480	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)			Wild Type	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-480_unnormalized_counts.csv
004cc4	OSDR	OSD-480	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)			Wild Type	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-480_unnormalized_counts.csv
004ch1	OSDR	OSD-480	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)			Wild Type	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-480_unnormalized_counts.csv
004ch2	OSDR	OSD-480	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)			Wild Type	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-480_unnormalized_counts.csv
004ch3	OSDR	OSD-480	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)			Wild Type	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-480_unnormalized_counts.csv
004ch4	OSDR	OSD-480	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)			Wild Type	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-480_unnormalized_counts.csv
004cm1	OSDR	OSD-480	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)			Wild Type	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-480_unnormalized_counts.csv
004cm2	OSDR	OSD-480	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)			Wild Type	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-480_unnormalized_counts.csv
004cm3	OSDR	OSD-480	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)			Wild Type	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-480_unnormalized_counts.csv
004cm4	OSDR	OSD-480	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)			Wild Type	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-480_unnormalized_counts.csv
004cr1	OSDR	OSD-480	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)			Wild Type	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-480_unnormalized_counts.csv
004cr2	OSDR	OSD-480	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)			Wild Type	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-480_unnormalized_counts.csv
004cr3	OSDR	OSD-480	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)			Wild Type	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-480_unnormalized_counts.csv
004cr4	OSDR	OSD-480	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)			Wild Type	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-480_unnormalized_counts.csv
004pc1	OSDR	OSD-480	Arabidopsis thaliana		seedling			Space Flight			gravitropism	European Modular Cultivation System (EMCS)			pgm-1	RNA-seq		/mnt/shared-workspace/raw_osdr/counts/OSD-480_unnormalized_counts.csv
